state,statefip,cbsa,cbsacode,metpop10,cbsacity,cbsacitypop,pumaname,pumanum,pumapop,pumacity,pumacitypop,geodensity,simpledensity,princity,princitypop,altmetro
FL,12,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,5564635,Fort Lauderdale,182760,"Broward County (North Central)--Margate & Coconut Creek Cities PUMA, Florida",1102,122216,Margate,58712,5312,5577,Fort Lauderdale,182760,4 Satellite
FL,12,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,5564635,Fort Lauderdale,182760,"Broward County--Deerfield, Pompano Beach (North) & Lighthouse Point Cities PUMA; Florida",1103,110696,Deerfield Beach,86859,4918,5215,Deerfield Beach,86859,3 Small City
FL,12,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,5564635,Fort Lauderdale,182760,"Broward County--Pompano Beach (South) & Fort Lauderdale (Northeast) Cities PUMA, Florida",1104,126789,S Pompano Beach,,5054,4622,Pompano Beach,112046,4 Satellite
FL,12,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,5564635,Fort Lauderdale,182760,"Broward County (Central)--Tamarac, Oakland Park & North Lauderdale Cities PUMA; Florida",1105,182303,Tamarac,71897,6000,5706,Fort Lauderdale,182760,4 Satellite
FL,12,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,5564635,Fort Lauderdale,182760,"Broward County (Central)--Plantation & Sunrise Cities PUMA, Florida",1106,184662,Plantation,91750,5057,4777,Sunrise,97335,4 Satellite
FL,12,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,5564635,Fort Lauderdale,182760,"Broward County (Central)--Lauderhill & Lauderdale Lakes Cities PUMA, Florida",1107,110797,Lauderhill,74482,8783,8901,Fort Lauderdale,182760,4 Satellite
FL,12,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,5564635,Fort Lauderdale,182760,"Broward County (East Central)--Fort Lauderdale City (Central) PUMA, Florida",1108,152880,Central Ft Lauderdale,,5424,5240,Fort Lauderdale,182760,5 Core City
FL,12,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,5564635,Fort Lauderdale,182760,"Broward County (Southeast)--Hollywood (North) & Dania Beach (South) Cities PUMA, Florida",1109,109519,Hollywood,153067,4865,3883,Fort Lauderdale,182760,4 Satellite
FL,12,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,5564635,Fort Lauderdale,182760,"Broward County (Central)--Davie Town & Cooper City PUMA, Florida",1110,132559,Davie,105691,3260,3353,Fort Lauderdale,182760,4 Satellite
FL,12,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,5564635,Fort Lauderdale,182760,"Broward County--Weston, Pembroke Pines (Northwest) Cities & Southwest Ranches Town PUMA; Florida",1111,140806,Weston,68107,2947,2513,Fort Lauderdale,182760,4 Satellite
